               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.048623,            0.014999,                   0,             0.69697,             0.95455,             0.86269,             0.46071,            0.047547,            0.012865,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.043973,            0.016331,                   0,             0.87434,             0.97727,             0.97825,             0.58837,            0.040541,            0.012694,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.041824,            0.014421,                   0,             0.98771,                   1,               0.995,             0.58752,            0.042138,            0.012636,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.044406,            0.015147,                   0,             0.57453,             0.95143,             0.68313,             0.24945,            0.064565,            0.012894,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.057547,            0.013898,                   0,             0.57453,             0.95143,             0.68313,             0.24945,            0.064565,            0.012894,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.050781,            0.014441,                   0,             0.56013,             0.86364,             0.76009,             0.40515,            0.053842,            0.012855,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.046976,            0.016177,                   0,             0.99735,                   1,               0.995,             0.55399,            0.039993,            0.012526,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.044375,            0.017353,                   0,             0.99788,                   1,               0.995,             0.45171,            0.052076,            0.012083,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.048615,            0.016552,                   0,             0.99788,                   1,               0.995,             0.45171,            0.052076,            0.012083,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.048713,            0.012812,                   0,             0.99338,                   1,               0.995,             0.57231,             0.04456,            0.011833,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.044396,            0.014467,                   0,             0.89902,             0.97727,             0.97729,             0.64065,            0.042924,            0.011745,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.041344,            0.013974,                   0,              0.7016,             0.90909,             0.89897,             0.51361,            0.044978,            0.012147,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.048889,            0.013554,                   0,              0.7016,             0.90909,             0.89897,             0.51361,            0.044978,            0.012147,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.045617,            0.014345,                   0,             0.70688,                   1,             0.87771,             0.58972,            0.042592,            0.011867,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.047003,            0.014812,                   0,              0.9094,             0.97727,              0.9545,              0.4987,            0.044659,            0.011693,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.045653,            0.014272,                   0,             0.91446,             0.97197,             0.97434,             0.36039,            0.048445,             0.01206,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.046662,            0.014997,                   0,             0.91446,             0.97197,             0.97434,             0.36039,            0.048445,             0.01206,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.045837,            0.014366,                   0,             0.73967,             0.83949,             0.88542,             0.40734,            0.048265,            0.011817,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.042376,            0.014857,                   0,             0.91424,             0.96926,             0.97789,             0.58531,            0.043687,            0.011587,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.042353,            0.014237,                   0,              0.9971,                   1,               0.995,             0.50323,            0.044438,             0.01173,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.047392,            0.014665,                   0,              0.9971,                   1,               0.995,             0.50323,            0.044438,             0.01173,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.045388,            0.013862,                   0,              0.9971,                   1,               0.995,             0.54225,            0.043397,            0.011704,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.044082,            0.013515,                   0,             0.97549,                   1,             0.99456,              0.6269,            0.038933,             0.01182,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.039621,            0.014738,                   0,             0.87754,                   1,             0.92743,              0.4619,            0.042837,            0.012036,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.046823,            0.013806,                   0,             0.87754,                   1,             0.92743,              0.4619,            0.042837,            0.012036,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.044483,             0.01512,                   0,             0.99248,                   1,               0.995,             0.57616,            0.038744,            0.011801,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.038862,            0.013747,                   0,             0.99748,                   1,               0.995,             0.67573,            0.036923,            0.011314,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.037151,            0.013845,                   0,             0.99423,                   1,               0.995,             0.45346,            0.043029,            0.011443,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.045376,            0.014065,                   0,             0.99423,                   1,               0.995,             0.45346,            0.043029,            0.011443,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.039011,            0.013232,                   0,             0.99797,                   1,               0.995,             0.62709,            0.038525,            0.011211,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.037472,             0.01382,                   0,             0.99747,                   1,               0.995,             0.64945,            0.036833,            0.011043,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.037566,            0.012935,                   0,             0.73596,             0.95029,             0.86966,             0.49179,            0.048548,            0.011583,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.043345,            0.013519,                   0,             0.73596,             0.95029,             0.86966,             0.49179,            0.048548,            0.011583,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.040282,            0.013527,                   0,             0.95302,                   1,             0.98611,              0.5311,             0.04517,            0.011646,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.039505,            0.013546,                   0,             0.99691,                   1,               0.995,             0.65341,            0.039231,            0.011527,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.042811,            0.013436,                   0,             0.99711,                   1,               0.995,             0.38765,            0.047538,            0.012064,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.045286,            0.013944,                   0,             0.99711,                   1,               0.995,             0.38765,            0.047538,            0.012064,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,            0.042878,            0.014919,                   0,             0.99652,                   1,               0.995,             0.57191,            0.040081,            0.011856,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.039219,            0.014318,                   0,             0.99666,                   1,               0.995,             0.67456,            0.037515,            0.011693,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.039525,            0.013428,                   0,             0.99232,                   1,               0.995,              0.4161,            0.047837,            0.011825,                   0,           0.0086338,           0.0086338,           0.0086338
